Character,Chinese Subtitle,English Translation
Sun Wukong,人，我保住了 ,My master-safe! 
Sun Wukong,经，我取到了,The scriptures-sound! 
Sun Wukong,俺老孙啥功名不要，只求回到这花果山终老，过过逍遥日子,"All I ever wanted was a life in my mountain, free from you, and your so-called merits. "
Sun Wukong,上面的天王老子信不过我，我懂,Those high above don't trust me. I understand that. 
Sun Wukong,让你小子带些虾兵蟹将过来虚张声势,And they send you and those knuckleheads...
Sun Wukong,又想唬我回去做神仙，我也懂,"to threaten me to obey and serve once more. Hmm, I understand that too. "
Sun Wukong,我不懂的是……,But what I don't understand is...
Sun Wukong,你他娘的杀我猴子猴孙,you bastards killing my kind!
"Erlang, the Sacred Divinity",蠢狗，放肆，还不退下 ,"Stay back, stupid dog! "
"Erlang, the Sacred Divinity",都记好喽，他不是只普通猴子，他是有功的猴子 ,Mark this. He's not just any monkey. He's a monkey of merit. 
"Erlang, the Sacred Divinity",是封过佛位的猴子,A monkey was made Buddha once. 
"Erlang, the Sacred Divinity",这里除了我，没人配与他单挑,None other than me can challenge him to a duel.
"Erlang, the Sacred Divinity",猢狲啊猢狲，我本不想与你这个手下败将再战一场,"Look, monkey, I don't make a habit of fighting someone I've bested before..."
"Erlang, the Sacred Divinity",这样罢，一会儿若是你败了，我带你回天庭,"Here's my offer. If you lose, I'll take you to the Celestial Court. "
"Erlang, the Sacred Divinity",他们，留在这里铲平花果山,They would stay and level your mountain. 
"Erlang, the Sacred Divinity",若是我输了，我定然不会罢休,"But if I lose, I shall certainly take revenge, "
"Erlang, the Sacred Divinity",他们，照样铲平花果山,and they will level your mountain nonetheless!
"Erlang, the Sacred Divinity",生灵涂炭呐，好歹也同僚一场，是真不想打,"How tragic would that be, huh? You were one of the Court; we don't need to resort to violence. "
"Erlang, the Sacred Divinity",要不你现在就跪下，认个错，这事儿就算过去了，如何？,"How about you bend the knees, admit the wrongs and we can put this behind us?"
